Epoch,Loss,Training Accuracy,Testing Accuracy,Time Taken
1,3.9999241522312166,20.4,22.56,0 | 23 | 36.26
2,2.8729816046595573,38.38,40.16,0 | 23 | 34.63
3,2.2728163989186285,49.7,49.16,0 | 23 | 31.87
4,1.9162513657808304,56.12,54.84,0 | 23 | 33.65
5,1.6512483878731727,62.0,57.88,0 | 23 | 33.57
6,1.4446492709696293,67.56,61.3,0 | 23 | 43.03
7,1.2759510292224585,70.75,62.12,0 | 23 | 22.82
8,1.1187078628584743,74.8,63.38,0 | 23 | 21.67
9,0.992990534773469,79.2,65.2,0 | 23 | 24.69
10,0.8634510983660817,81.4,66.44,0 | 23 | 27.54
11,0.7687908104300499,84.44,66.75,0 | 23 | 46.91
12,0.6734557387378067,85.8,65.4,0 | 23 | 34.02
13,0.5892796534830704,87.44,66.75,0 | 23 | 28.75
14,0.5249689448190853,90.5,66.9,0 | 23 | 31.92
15,0.46546086432058364,90.94,66.75,0 | 23 | 26.99
16,0.42107096178689973,91.7,67.5,0 | 23 | 28.25
17,0.3769781024016207,92.5,66.8,0 | 23 | 34.61
18,0.34072488923994826,94.06,67.56,0 | 23 | 32.88
19,0.3244491500509437,93.3,67.44,0 | 23 | 34.08
20,0.29425043117678723,93.44,66.9,0 | 23 | 30.48
Final Averages,,"tensor(93.6420, device='cuda:0')","tensor(66.8800, device='cuda:0')","Total Time: 7 Hours, 50 Minutes, 46.07 Seconds"
